year,party,party_name,region,region_name,national_vote,regional_vote
1993,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0088,0.2558
1996,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0088,0.2509
2000,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0107,0.2956
2004,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0091,0.2433
2008,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0068,0.1749
2011,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0059,0.1547
2015,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0032,0.0824
2016,canarian_coalition,Canarian Coalition,5,Canary Islands,0.0033,0.0799
1977,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0079,0.0472
1979,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0069,0.0418
1982,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0066,0.0402
1986,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0042,0.0267
1989,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0041,0.0268
1993,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.008,0.051
1996,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0067,0.0418
2000,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0084,0.0564
2004,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0252,0.1589
2008,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0116,0.0783
2011,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0106,0.0707
2015,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.024,0.1599
2016,catalan_republican,Rep. Left of Catalonia (ERC),9,Catalonia,0.0266,0.1818
1977,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0172,0.2928
1979,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0165,0.2757
1982,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0188,0.3173
1986,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0153,0.2782
1989,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0124,0.2278
1993,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0124,0.2405
1996,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0127,0.2504
2000,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0153,0.3038
2004,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0163,0.3372
2008,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0119,0.2711
2011,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0133,0.2741
2015,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.012,0.2472
2016,basque_nationalist,Basque National Party (EAJ),14,Basque Country,0.0119,0.2486
2015,eh_bildu,EH Bildu,14,Basque Country,0.0087,0.1506
2016,eh_bildu,EH Bildu,14,Basque Country,0.0077,0.1328
